arm,recall@1,recall@5,recall@20,mrr,multihop_success,multihop_entity_recall,multihop_chain_coverage,refusal_correct_distractor,over_refusal_answerable,ki_over_refusal,mh_over_refusal,latency_p50_ms,latency_p95_ms,latency_mean_ms,n_queries
rag,0.5533333333333333,0.6866666666666666,0.7533333333333333,0.6102904317904319,0.0,0.03333333333333333,0.05,0.1,0.0,0.0,0.0,7.677100002183579,10.071300006529782,7.967130499891937,200
graph,0.62,0.9866666666666667,1.0,0.7495555555555555,0.5333333333333333,0.5333333333333333,0.8111111111111111,1.0,0.0,0.0,0.0,0.29799999902024865,0.5203000036999583,0.3219784998509567,200
hybrid,0.7133333333333334,0.98,1.0,0.8001111111111113,0.4,0.4,0.7444444444444446,0.1,0.0,0.0,0.0,8.97899999836227,11.220799999136943,9.20244350007124,200
